Date,Forecasted_Passengers,Lower_Bound,Upper_Bound,Terminal
2025-01-01,2464907.0,2292364.0,2637450.0,MBT
2025-02-01,2531071.0,2353896.0,2708246.0,MBT
2025-03-01,2700190.0,2511177.0,2889203.0,MBT
2025-04-01,2493435.0,2318895.0,2667975.0,MBT
2025-05-01,2839467.0,2640704.0,3038230.0,MBT
2025-06-01,2565156.0,2385595.0,2744717.0,MBT
2025-07-01,2372973.0,2206865.0,2539081.0,MBT
2025-08-01,2248052.0,2090688.0,2405416.0,MBT
2025-09-01,2093608.0,1947055.0,2240161.0,MBT
2025-10-01,2371102.0,2205125.0,2537079.0,MBT
2025-11-01,2375904.0,2209591.0,2542217.0,MBT
2025-12-01,2300160.0,2139149.0,2461171.0,MBT
2026-01-01,2373611.0,2207458.0,2539764.0,MBT
2026-02-01,2511643.0,2335828.0,2687458.0,MBT
2026-03-01,2770126.0,2576217.0,2964035.0,MBT
2026-04-01,2642617.0,2457634.0,2827600.0,MBT
2026-05-01,2578182.0,2397709.0,2758655.0,MBT
2026-06-01,2573987.0,2393808.0,2754166.0,MBT
2026-07-01,2402949.0,2234743.0,2571155.0,MBT
2026-08-01,2108388.0,1960801.0,2255975.0,MBT
2026-09-01,2255527.0,2097640.0,2413414.0,MBT
2026-10-01,2289140.0,2128900.0,2449380.0,MBT
2026-11-01,2448680.0,2277272.0,2620088.0,MBT
2026-12-01,2604699.0,2422370.0,2787028.0,MBT
2027-01-01,2612641.0,2429756.0,2795526.0,MBT
2027-02-01,2534377.0,2356971.0,2711783.0,MBT
2027-03-01,2531862.0,2354632.0,2709092.0,MBT
2027-04-01,2920589.0,2716148.0,3125030.0,MBT
2027-05-01,2739586.0,2547815.0,2931357.0,MBT
2027-06-01,2614769.0,2431735.0,2797803.0,MBT
2027-07-01,2441609.0,2270696.0,2612522.0,MBT
2027-08-01,2390009.0,2222708.0,2557310.0,MBT
2027-09-01,2261930.0,2103595.0,2420265.0,MBT
2027-10-01,2272619.0,2113536.0,2431702.0,MBT
2027-11-01,2349804.0,2185318.0,2514290.0,MBT
2027-12-01,2447398.0,2276080.0,2618716.0,MBT
2028-01-01,2475289.0,2302019.0,2648559.0,MBT
2028-02-01,2510116.0,2334408.0,2685824.0,MBT
2028-03-01,2660494.0,2474259.0,2846729.0,MBT
2028-04-01,2677781.0,2490336.0,2865226.0,MBT
2028-05-01,2890178.0,2687866.0,3092490.0,MBT
2028-06-01,2386526.0,2219469.0,2553583.0,MBT
2028-07-01,2560029.0,2380827.0,2739231.0,MBT
2028-08-01,2501733.0,2326612.0,2676854.0,MBT
2028-09-01,2099164.0,1952223.0,2246105.0,MBT
2028-10-01,2308869.0,2147248.0,2470490.0,MBT
2028-11-01,2381417.0,2214718.0,2548116.0,MBT
2028-12-01,2336723.0,2173152.0,2500294.0,MBT
2029-01-01,2469990.0,2297091.0,2642889.0,MBT
2029-02-01,2490112.0,2315804.0,2664420.0,MBT
2029-03-01,2828950.0,2630924.0,3026976.0,MBT
2029-04-01,2804683.0,2608355.0,3001011.0,MBT
2029-05-01,2886480.0,2684426.0,3088534.0,MBT
2029-06-01,2713669.0,2523712.0,2903626.0,MBT
2029-07-01,2371550.0,2205542.0,2537558.0,MBT
2029-08-01,2354176.0,2189384.0,2518968.0,MBT
2029-09-01,2349595.0,2185123.0,2514067.0,MBT
2029-10-01,2242968.0,2085960.0,2399976.0,MBT
2029-11-01,2496649.0,2321884.0,2671414.0,MBT
2029-12-01,2459884.0,2287692.0,2632076.0,MBT
2030-01-01,2523326.0,2346693.0,2699959.0,MBT
2030-02-01,2674255.0,2487057.0,2861453.0,MBT
2030-03-01,2725683.0,2534885.0,2916481.0,MBT
2030-04-01,2702778.0,2513584.0,2891972.0,MBT
2030-05-01,2893845.0,2691276.0,3096414.0,MBT
2030-06-01,2564733.0,2385202.0,2744264.0,MBT
2030-07-01,2547862.0,2369512.0,2726212.0,MBT
2030-08-01,2472302.0,2299241.0,2645363.0,MBT
2030-09-01,2290790.0,2130435.0,2451145.0,MBT
2030-10-01,2400398.0,2232370.0,2568426.0,MBT
2030-11-01,2331449.0,2168248.0,2494650.0,MBT
