Date,Terminal,Carrier,Forecasted_Passengers
2025-01-01,MBT,academy,159868.0
2025-02-01,MBT,academy,161906.0
2025-03-01,MBT,academy,172751.0
2025-04-01,MBT,academy,184055.0
2025-05-01,MBT,academy,180510.0
2025-06-01,MBT,academy,185759.0
2025-07-01,MBT,academy,200083.0
2025-08-01,MBT,academy,192779.0
2025-09-01,MBT,academy,178233.0
2025-10-01,MBT,academy,174918.0
2025-11-01,MBT,academy,163205.0
2025-12-01,MBT,academy,154791.0
2026-01-01,MBT,academy,160168.0
2026-02-01,MBT,academy,154655.0
2026-03-01,MBT,academy,162581.0
2026-04-01,MBT,academy,175389.0
2026-05-01,MBT,academy,178427.0
2026-06-01,MBT,academy,190362.0
2026-07-01,MBT,academy,189559.0
2026-08-01,MBT,academy,183759.0
2026-09-01,MBT,academy,189703.0
2026-10-01,MBT,academy,172785.0
2026-11-01,MBT,academy,167501.0
2026-12-01,MBT,academy,151553.0
2027-01-01,MBT,academy,157810.0
2027-02-01,MBT,academy,166401.0
2027-03-01,MBT,academy,167142.0
2027-04-01,MBT,academy,181838.0
2027-05-01,MBT,academy,182299.0
2027-06-01,MBT,academy,189194.0
2027-07-01,MBT,academy,193003.0
2027-08-01,MBT,academy,201960.0
2027-09-01,MBT,academy,184101.0
2027-10-01,MBT,academy,170335.0
2027-11-01,MBT,academy,172918.0
2027-12-01,MBT,academy,154129.0
2028-01-01,MBT,academy,163150.0
2028-02-01,MBT,academy,157672.0
2028-03-01,MBT,academy,167949.0
2028-04-01,MBT,academy,182704.0
2028-05-01,MBT,academy,190805.0
2028-06-01,MBT,academy,193371.0
2028-07-01,MBT,academy,197346.0
2028-08-01,MBT,academy,193072.0
2028-09-01,MBT,academy,178569.0
2028-10-01,MBT,academy,173733.0
2028-11-01,MBT,academy,168143.0
2028-12-01,MBT,academy,167076.0
2029-01-01,MBT,academy,165398.0
2029-02-01,MBT,academy,160280.0
2029-03-01,MBT,academy,177902.0
2029-04-01,MBT,academy,181555.0
2029-05-01,MBT,academy,185539.0
2029-06-01,MBT,academy,197434.0
2029-07-01,MBT,academy,204991.0
2029-08-01,MBT,academy,201112.0
2029-09-01,MBT,academy,183560.0
2029-10-01,MBT,academy,177496.0
2029-11-01,MBT,academy,173744.0
2029-12-01,MBT,academy,168225.0
2030-01-01,MBT,academy,162858.0
2030-02-01,MBT,academy,169792.0
2030-03-01,MBT,academy,172443.0
2030-04-01,MBT,academy,179259.0
2030-05-01,MBT,academy,194797.0
2030-06-01,MBT,academy,203018.0
2030-07-01,MBT,academy,201388.0
2030-08-01,MBT,academy,203352.0
2030-09-01,MBT,academy,191358.0
2030-10-01,MBT,academy,177526.0
2030-11-01,MBT,academy,175536.0
2030-12-01,MBT,academy,172594.0
2025-01-01,MBT,greyhound,200118.0
2025-02-01,MBT,greyhound,215260.0
2025-03-01,MBT,greyhound,201913.0
2025-04-01,MBT,greyhound,229000.0
2025-05-01,MBT,greyhound,231806.0
2025-06-01,MBT,greyhound,236474.0
2025-07-01,MBT,greyhound,245270.0
2025-08-01,MBT,greyhound,230147.0
2025-09-01,MBT,greyhound,228894.0
2025-10-01,MBT,greyhound,221307.0
2025-11-01,MBT,greyhound,218758.0
2025-12-01,MBT,greyhound,197496.0
2026-01-01,MBT,greyhound,198326.0
2026-02-01,MBT,greyhound,206686.0
2026-03-01,MBT,greyhound,223126.0
2026-04-01,MBT,greyhound,228962.0
2026-05-01,MBT,greyhound,231188.0
2026-06-01,MBT,greyhound,243503.0
2026-07-01,MBT,greyhound,248098.0
2026-08-01,MBT,greyhound,248564.0
2026-09-01,MBT,greyhound,228963.0
2026-10-01,MBT,greyhound,220180.0
2026-11-01,MBT,greyhound,211250.0
2026-12-01,MBT,greyhound,194765.0
2027-01-01,MBT,greyhound,206484.0
2027-02-01,MBT,greyhound,213107.0
2027-03-01,MBT,greyhound,220778.0
2027-04-01,MBT,greyhound,228553.0
2027-05-01,MBT,greyhound,229144.0
2027-06-01,MBT,greyhound,241278.0
2027-07-01,MBT,greyhound,248566.0
2027-08-01,MBT,greyhound,241927.0
2027-09-01,MBT,greyhound,234454.0
2027-10-01,MBT,greyhound,226560.0
2027-11-01,MBT,greyhound,225727.0
2027-12-01,MBT,greyhound,205726.0
2028-01-01,MBT,greyhound,208583.0
2028-02-01,MBT,greyhound,213706.0
2028-03-01,MBT,greyhound,213059.0
2028-04-01,MBT,greyhound,232231.0
2028-05-01,MBT,greyhound,239615.0
2028-06-01,MBT,greyhound,259287.0
2028-07-01,MBT,greyhound,252161.0
2028-08-01,MBT,greyhound,250527.0
2028-09-01,MBT,greyhound,237751.0
2028-10-01,MBT,greyhound,220726.0
2028-11-01,MBT,greyhound,224190.0
2028-12-01,MBT,greyhound,211064.0
2029-01-01,MBT,greyhound,213714.0
2029-02-01,MBT,greyhound,211659.0
2029-03-01,MBT,greyhound,233140.0
2029-04-01,MBT,greyhound,227518.0
2029-05-01,MBT,greyhound,245057.0
2029-06-01,MBT,greyhound,260566.0
2029-07-01,MBT,greyhound,250730.0
